4.0383 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
47.2837 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
48.0581 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8bb27e9b50>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8b83bfb5b0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
48.0584 	EXP 	window1: mouseVisible = True
48.0593 	EXP 	window1: mouseVisible = False
48.0594 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
48.0594 	EXP 	window1: recordFrameIntervals = False
48.2227 	EXP 	window1: recordFrameIntervals = True
48.4063 	EXP 	Screen (0) actual frame rate measured at 59.95Hz
48.4063 	EXP 	window1: recordFrameIntervals = False
52.7988 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
52.8171 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
52.8257 	EXP 	Imported /Users/chandamandhani/Desktop/lab assignments/discounting.xlsx as conditions, 7 conditions, 3 params
52.8268 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
52.8272 	EXP 	New trial (rep=0, index=0): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
52.9370 	EXP 	text: height = 0.05
52.9370 	EXP 	text: height = 0.05
52.9370 	EXP 	text: height = 0.05
52.9370 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
52.9370 	EXP 	fixation: autoDraw = True
53.8195 	EXP 	text: autoDraw = True
53.9366 	EXP 	fixation: autoDraw = False
58.4888 	DATA 	Keypress: t
58.5127 	EXP 	New trial (rep=0, index=1): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
58.5323 	EXP 	fixation: autoDraw = False
58.5323 	EXP 	text: autoDraw = False
58.5323 	EXP 	text: height = 0.05
58.5323 	EXP 	text: height = 0.05
58.5323 	EXP 	text: height = 0.05
58.5323 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
58.5323 	EXP 	fixation: autoDraw = True
59.5185 	EXP 	text: autoDraw = True
59.5349 	EXP 	fixation: autoDraw = False
62.9140 	EXP 	New trial (rep=0, index=2): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
62.9257 	DATA 	Keypress: l
62.9447 	EXP 	fixation: autoDraw = False
62.9447 	EXP 	text: autoDraw = False
62.9447 	EXP 	text: height = 0.05
62.9447 	EXP 	text: height = 0.05
62.9447 	EXP 	text: height = 0.05
62.9447 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
62.9447 	EXP 	fixation: autoDraw = True
63.9138 	EXP 	text: autoDraw = True
63.9470 	EXP 	fixation: autoDraw = False
68.3097 	EXP 	New trial (rep=0, index=3): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
68.3171 	DATA 	Keypress: t
68.3247 	EXP 	fixation: autoDraw = False
68.3247 	EXP 	text: autoDraw = False
68.3247 	EXP 	text: height = 0.05
68.3247 	EXP 	text: height = 0.05
68.3247 	EXP 	text: height = 0.05
68.3247 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
68.3247 	EXP 	fixation: autoDraw = True
69.3109 	EXP 	text: autoDraw = True
69.3279 	EXP 	fixation: autoDraw = False
73.7590 	EXP 	New trial (rep=0, index=4): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
73.7677 	DATA 	Keypress: t
73.7740 	EXP 	fixation: autoDraw = False
73.7740 	EXP 	text: autoDraw = False
73.7740 	EXP 	text: height = 0.05
73.7740 	EXP 	text: height = 0.05
73.7740 	EXP 	text: height = 0.05
73.7740 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
73.7740 	EXP 	fixation: autoDraw = True
74.7589 	EXP 	text: autoDraw = True
74.7755 	EXP 	fixation: autoDraw = False
78.1858 	EXP 	New trial (rep=0, index=5): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
78.1949 	DATA 	Keypress: l
78.2012 	EXP 	fixation: autoDraw = False
78.2012 	EXP 	text: autoDraw = False
78.2012 	EXP 	text: height = 0.05
78.2012 	EXP 	text: height = 0.05
78.2012 	EXP 	text: height = 0.05
78.2012 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
78.2012 	EXP 	fixation: autoDraw = True
79.1878 	EXP 	text: autoDraw = True
79.2045 	EXP 	fixation: autoDraw = False
81.0948 	EXP 	New trial (rep=0, index=6): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
81.1024 	DATA 	Keypress: l
81.1088 	EXP 	fixation: autoDraw = False
81.1088 	EXP 	text: autoDraw = False
81.1088 	EXP 	text: height = 0.05
81.1088 	EXP 	text: height = 0.05
81.1088 	EXP 	text: height = 0.05
81.1088 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
81.1088 	EXP 	fixation: autoDraw = True
82.0951 	EXP 	text: autoDraw = True
82.1119 	EXP 	fixation: autoDraw = False
85.1410 	DATA 	Keypress: t
85.1700 	EXP 	fixation: autoDraw = False
85.1700 	EXP 	text: autoDraw = False
85.4688 	EXP 	window1: mouseVisible = True
